GeneA,GeneB,UniprotA,UniprotB,DataSource
ATG16L1,ATG16L1,Q676U5,Q676U5,BioGrid
ATG16L1,ATG16L1,Q676U5,Q676U5,BioGrid
ATG16L1,NOD2,Q676U5,Q9HC29,BioGrid
ATG16L1,NOD2,Q676U5,Q9HC29,BioGrid
NOD2,ATG16L1,Q9HC29,Q676U5,BioGrid
IRGM,ATG16L1,A1A4Y4,Q676U5,BioGrid
ATG16L1,IRGM,Q676U5,A1A4Y4,BioGrid
IRGM,IRGM,A1A4Y4,A1A4Y4,BioGrid
IRGM,ATG16L1,A1A4Y4,Q676U5,BioGrid
ATG16L1,IRGM,Q676U5,A1A4Y4,BioGrid
IRGM,NOD2,A1A4Y4,Q9HC29,BioGrid
NOD2,IRGM,Q9HC29,A1A4Y4,BioGrid
NOD2,IRGM,Q9HC29,A1A4Y4,BioGrid
CREB5,CREB5,Q02930,Q02930,BioGrid
NOD2,NOD2,Q9HC29,Q9HC29,BioGrid
NOD2,RIPK2,Q9HC29,O43353,BioGrid
NOD2,RIPK2,Q9HC29,O43353,BioGrid
RIPK2,NOD2,O43353,Q9HC29,BioGrid
NOD2,RIPK2,Q9HC29,O43353,BioGrid
RIPK2,NOD2,O43353,Q9HC29,BioGrid
NOD2,RIPK2,Q9HC29,O43353,BioGrid
NOD2,RIPK2,Q9HC29,O43353,BioGrid
ATG16L1,NOD2,Q676U5,Q9HC29,BioGrid
ATG16L1,NOD2,Q676U5,Q9HC29,BioGrid
NOD2,ATG16L1,Q9HC29,Q676U5,BioGrid
IRGM,NOD2,A1A4Y4,Q9HC29,BioGrid
NOD2,IRGM,Q9HC29,A1A4Y4,BioGrid
NOD2,IRGM,Q9HC29,A1A4Y4,BioGrid
NOD2,RIPK2,Q9HC29,O43353,BioGrid
NOD2,RIPK2,Q9HC29,O43353,BioGrid
NOS2,NOS2,P35228,P35228,BioGrid
NOS2,NOS2,P35228,P35228,BioGrid
NOS2,NOS2,P35228,P35228,BioGrid
PTPN22,PTPN22,Q9Y2R2,Q9Y2R2,BioGrid
PTPN22,PTPN22,Q9Y2R2,Q9Y2R2,BioGrid
RIPK2,RIPK2,O43353,O43353,BioGrid
RIPK2,RIPK2,O43353,O43353,BioGrid
RIPK2,RIPK2,O43353,O43353,BioGrid
NOD2,RIPK2,Q9HC29,O43353,BioGrid
NOD2,RIPK2,Q9HC29,O43353,BioGrid
RIPK2,NOD2,O43353,Q9HC29,BioGrid
NOD2,RIPK2,Q9HC29,O43353,BioGrid
RIPK2,NOD2,O43353,Q9HC29,BioGrid
NOD2,RIPK2,Q9HC29,O43353,BioGrid
NOD2,RIPK2,Q9HC29,O43353,BioGrid
NOD2,RIPK2,Q9HC29,O43353,BioGrid
NOD2,RIPK2,Q9HC29,O43353,BioGrid
IRGM,IRGM,A1A4Y4,A1A4Y4,IID
IRGM,NOD2,A1A4Y4,Q9HC29,IID
IRGM,ATG16L1,A1A4Y4,Q676U5,IID
LGALS9,LGALS9,O00182,O00182,IID
RIPK2,RIPK2,O43353,O43353,IID
RIPK2,NOD2,O43353,Q9HC29,IID
IFNAR1,IFNGR2,P17181,P38484,IID
IFNAR1,IL6ST,P17181,P40189,IID
IFNAR1,IL31RA,P17181,"Q8NI17
",IID
NOS2,NOS2,P35228,P35228,IID
IFNGR2,IFNGR2,P38484,P38484,IID
IL6ST,IL31RA,P40189,"Q8NI17
",IID
IL6ST,IL6ST,P40189,P40189,IID
FASLG,PTPN22,P48023,Q9Y2R2,IID
FASLG,FASLG,P48023,P48023,IID
FASLG,TNFSF18,P48023,Q9UNG2,IID
CREB5,CREB5,Q02930,Q02930,IID
CPEB4,CPEB4,Q17RY0,Q17RY0,IID
ATG16L1,NOD2,Q676U5,Q9HC29,IID
ATG16L1,ATG16L1,Q676U5,Q676U5,IID
JAZF1,JAZF1,86VZ6,86VZ6,IID
NOD2,NOD2,Q9HC29,Q9HC29,IID
TNFSF18,TNFSF18,Q9UNG2,Q9UNG2,IID
PTPN22,PTPN22,Q9Y2R2,Q9Y2R2,IID
